hierarchy_id,child_id,parent_id
201,E01000001,E02000001
201,E01000003,E02000001
201,E01000002,E02000001
201,E01032739,E02000001
201,E01032740,E02000001
201,E01000005,E02000001
201,E01000009,E02000017
201,E01000011,E02000017
201,E01000012,E02000016
201,E01000007,E02000016
201,E01000008,E02000016
201,E01000006,E02000017
201,E01000010,E02000016
201,E01000016,E02000010
201,E01000015,E02000010
201,E01000017,E02000010
201,E01000018,E02000010
201,E01000014,E02000014
201,E01000013,E02000014
201,E01000024,E02000009
201,E01032580,E02006799
201,E01000019,E02006799
201,E01000020,E02006799
201,E01000021,E02000009
201,E01000022,E02000009
201,E01000023,E02000009
201,E01000025,E02000009
201,E01000032,E02000003
201,E01000031,E02000003
201,E01000028,E02000002
201,E01000027,E02000002
201,E01000030,E02000002
201,E01000029,E02000002
201,E01000035,E02000011
201,E01000033,E02000007
201,E01000034,E02000004
201,E01000036,E02000011
201,E01000037,E02000004
201,E01000038,E02000004
201,E01000039,E02000004
201,E01000045,E02000018
201,E01000041,E02000018
201,E01000044,E02000017
201,E01000046,E02000018
201,E01000042,E02000018
201,E01000040,E02000020
201,E01000043,E02000020
201,E01000052,E02000020
201,E01000048,E02000022
201,E01000049,E02000022
201,E01033587,E02000022
201,E01033588,E02000022
201,E01000050,E02000020
201,E01000051,E02000022
201,E01000053,E02000021
201,E01000059,E02000014
201,E01000055,E02000019
201,E01000056,E02000019
201,E01000054,E02000019
201,E01000057,E02000013
201,E01000058,E02000019
201,E01000063,E02000005
201,E01000060,E02000007
201,E01000061,E02000007
201,E01000064,E02000007
201,E01000062,E02000007
201,E01000065,E02000008
201,E01000066,E02000012
201,E01000067,E02000012
201,E01000069,E02000012
201,E01000070,E02000012
201,E01000068,E02000017
201,E01000071,E02000012
201,E01000076,E02000013
201,E01000075,E02000013
201,E01000077,E02000009
201,E01000073,E02000013
201,E01000074,E02000013
201,E01000072,E02000018
201,E01000078,E02000008
201,E01000082,E02000008
201,E01000083,E02000008
201,E01000081,E02000008
201,E01000080,E02000008
201,E01000079,E02000010
201,E01000087,E02000021
201,E01000090,E02000021
201,E01000086,E02000014
201,E01000088,E02000021
201,E01000089,E02000021
201,E01000084,E02000014
201,E01000085,E02000014
201,E01000091,E02000023
201,E01000094,E02000023
201,E01000092,E02000020
201,E01000093,E02000023
201,E01000095,E02000019
201,E01000096,E02000023
201,E01000098,E02006799
201,E01000097,E02006799
201,E01000099,E02006799
201,E01000100,E02000005
201,E01000101,E02000005
201,E01000102,E02000008
201,E01000105,E02000015
201,E01000106,E02000015
201,E01000107,E02000011
201,E01000104,E02000015
201,E01000103,E02000015
201,E01000108,E02000011
201,E01000111,E02000003
201,E01000109,E02000005
201,E01000114,E02000005
201,E01000112,E02000003
201,E01000110,E02000003
201,E01000113,E02000003
201,E01000119,E02000032
201,E01000124,E02000033
201,E01000118,E02000033
201,E01000120,E02000032
201,E01000117,E02000033
201,E01000116,E02000032
201,E01000121,E02000033
201,E01000122,E02000032
201,E01000123,E02000033
201,E01000115,E02000032
201,E01000126,E02000049
201,E01000131,E02000047
201,E01000129,E02000047
201,E01000128,E02000047
201,E01000132,E02000044
201,E01000133,E02000044
201,E01000134,E02000047
201,E01000127,E02000047
201,E01000125,E02000047
201,E01000130,E02000044
201,E01000141,E02000062
201,E01000139,E02000064
201,E01000138,E02000063
201,E01000140,E02000064
201,E01000137,E02000064
201,E01000142,E02000063
201,E01000143,E02000064
201,E01000144,E02000061
201,E01000145,E02000060
201,E01000146,E02000061
201,E01000135,E02000061
201,E01000136,E02000061
201,E01000153,E02000049
201,E01000155,E02000053
201,E01033572,E02000053
201,E01000147,E02000053
201,E01000150,E02000059
201,E01000152,E02000049
201,E01000151,E02000049
201,E01000154,E02000049
201,E01000148,E02000053
201,E01000160,E02000038
201,E01000165,E02000045
201,E01000161,E02000038
201,E01000163,E02000045
201,E01000156,E02000045
201,E01000158,E02000038
201,E01000162,E02000038
201,E01000164,E02000045
201,E01000157,E02000045
201,E01000159,E02000038
201,E01000174,E02000029
201,E01000175,E02000029
201,E01000169,E02000026
201,E01000170,E02000029
201,E01000166,E02000026
201,E01000171,E02000029
201,E01000168,E02000026
201,E01000172,E02000026
201,E01000173,E02000029
201,E01000167,E02000025
201,E01000179,E02000052
201,E01000177,E02000052
201,E01000184,E02000050
201,E01000183,E02000056
201,E01000180,E02000052
201,E01000182,E02000052
201,E01000176,E02000050
201,E01000185,E02000052
201,E01000178,E02000050
201,E01000181,E02000052
201,E01000188,E02000037
201,E01000187,E02000037
201,E01000195,E02000036
201,E01000186,E02000037
201,E01000189,E02000037
201,E01000191,E02000037
201,E01000190,E02000037
201,E01000192,E02000041
201,E01000193,E02000041
201,E01000194,E02000041
201,E01000200,E02000051
201,E01000203,E02000051
201,E01000197,E02000046
201,E01000198,E02000048
201,E01000201,E02000051
201,E01000199,E02000048
201,E01000202,E02000051
201,E01000204,E02000048
201,E01000196,E02000051
201,E01000213,E02000056
201,E01000214,E02000061
201,E01000206,E02000056
201,E01000210,E02000056
201,E01000205,E02000058
201,E01000211,E02000058
201,E01000208,E02000056
201,E01000209,E02000058
201,E01000207,E02000056
201,E01000212,E02000058
201,E01000221,E02000062
201,E01000218,E02000060
201,E01000216,E02000058
201,E01000219,E02000060
201,E01000220,E02000060
201,E01000222,E02000063
201,E01000223,E02000062
201,E01000224,E02000063
201,E01000225,E02000060
201,E01000217,E02000058
201,E01000215,E02000060
201,E01000235,E02000044
201,E01000228,E02000030
201,E01000226,E02000041
201,E01000229,E02000036
